Question ID,Label,Question,Only asked when,Answer value,Answer label,Icon
party,Who's coming,Who's coming on the trip?,always,couple,Just the two of us,couple
party,Who's coming,Who's coming on the trip?,always,family,Family with children,family
party,Who's coming,Who's coming on the trip?,always,friends,A group of friends,friends
party,Who's coming,Who's coming on the trip?,always,group,A big get-together,group
party,Who's coming,Who's coming on the trip?,always,solo,Just me,solo
party,Who's coming,Who's coming on the trip?,always,unsure,Not settled yet,question
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,3-4,3 or 4,n4
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,5-6,5 or 6,n6
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,7-8,7 or 8,n8
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,9-12,9 to 12,n12
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,13+,13 or more,n16
size,How many,How many of you will there be?,Who's coming = Family with children / A group of friends / A big get-together / Not settled yet,unsure,Not sure yet,question
area,Where,Where on the Broads would you like to be?,always,wroxham,Wroxham and Hoveton,pin
area,Where,Where on the Broads would you like to be?,always,horning,Horning,pin
area,Where,Where on the Broads would you like to be?,always,thurne,Potter Heigham and the Thurne,pin
area,Where,Where on the Broads would you like to be?,always,south,"Reedham, Brundall and the Yare",pin
area,Where,Where on the Broads would you like to be?,always,quiet,Somewhere quiet and rural,tree
area,Where,Where on the Broads would you like to be?,always,unsure,Anywhere on the Broads,question
when,Dates,When would you like to come?,always,dates,Specific dates,calendar
when,Dates,When would you like to come?,always,unsure,I'm flexible,question
musthave,Must have,What can't you do without?,always,dog,The dog comes too,dog
musthave,Must have,What can't you do without?,always,moorings,A mooring for our boat,anchor
musthave,Must have,What can't you do without?,always,single,Everything on one level,single
musthave,Must have,What can't you do without?,always,hottub,A hot tub,hottub
musthave,Must have,What can't you do without?,always,river,A river view,river
musthave,Must have,What can't you do without?,always,unsure,No must-haves,question
trip,Your time,How do you want to spend your time?,always,boating,Out on the water,boat
trip,Your time,How do you want to spend your time?,always,fishing,Fishing,fish
trip,Your time,How do you want to spend your time?,always,walking,Walking and wildlife,walk
trip,Your time,How do you want to spend your time?,always,exploring,"Pubs, villages and days out",explore
trip,Your time,How do you want to spend your time?,always,nothing,Doing very little,rest
trip,Your time,How do you want to spend your time?,always,unsure,A bit of everything,question
