Rule ID,Property,Question,Answer,Action,Reason shown to the guest,Owner verdict (keep / change / remove),Comment
R001,Bittern,How many,3 or 4,-12,,,
R002,Bittern,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R003,Bittern,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R004,Bittern,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R005,Bittern,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R006,Bittern,Who's coming,Just the two of us,-6,,,
R007,Bittern,Who's coming,Just me,-4,,,
R008,Bittern,Who's coming,Family with children,+4,Set up for families,,
R009,Bittern,Who's coming,A big get-together,+6,Room for a big get-together,,
R010,Bittern,Must have,The dog comes too,+10,Dogs welcome,,
R011,Bittern,Must have,A mooring for our boat,+10,A mooring at the property,,
R012,Bittern,Must have,Everything on one level,+10,Everything on one level,,
R013,Bittern,Must have,A hot tub,-2,,,
R014,Bittern,Must have,A river view,+4,Right by the water,,
R015,Bittern,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R016,Bittern,Your time,Fishing,+3,Right on the water,,
R017,Bittern,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R018,Bittern,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R019,Bittern,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R020,Bittern,Where,Wroxham and Hoveton,-5,,,
R021,Bittern,Where,Horning,+8,"In Horning, where you asked",,
R022,Bittern,Where,Potter Heigham and the Thurne,-5,,,
R023,Bittern,Where,"Reedham, Brundall and the Yare",-5,,,
R024,Bittern,Where,Somewhere quiet and rural,-5,,,
R025,Bluebell Lodge,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R026,Bluebell Lodge,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R027,Bluebell Lodge,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R028,Bluebell Lodge,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R029,Bluebell Lodge,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R030,Bluebell Lodge,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R031,Bluebell Lodge,Who's coming,Just me,+5,Small enough to feel like your own,,
R032,Bluebell Lodge,Who's coming,A big get-together,-6,,,
R033,Bluebell Lodge,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R034,Bluebell Lodge,Must have,A mooring for our boat,+10,A mooring at the property,,
R035,Bluebell Lodge,Must have,Everything on one level,-8,,,
R036,Bluebell Lodge,Must have,A hot tub,-2,,,
R037,Bluebell Lodge,Must have,A river view,+4,Right by the water,,
R038,Bluebell Lodge,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R039,Bluebell Lodge,Your time,Fishing,+8,Fishing from the garden or close by,,
R040,Bluebell Lodge,Your time,Fishing,+3,Right on the water,,
R041,Bluebell Lodge,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R042,Bluebell Lodge,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R043,Bluebell Lodge,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R044,Bluebell Lodge,Where,Wroxham and Hoveton,-5,,,
R045,Bluebell Lodge,Where,Horning,+8,"In Horning, where you asked",,
R046,Bluebell Lodge,Where,Potter Heigham and the Thurne,-5,,,
R047,Bluebell Lodge,Where,"Reedham, Brundall and the Yare",-5,,,
R048,Bluebell Lodge,Where,Somewhere quiet and rural,-5,,,
R049,Broadwater,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R050,Broadwater,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R051,Broadwater,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R052,Broadwater,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R053,Broadwater,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R054,Broadwater,Who's coming,Just me,-4,,,
R055,Broadwater,Who's coming,Family with children,+4,Set up for families,,
R056,Broadwater,Who's coming,Family with children,+2,A garden for the children,,
R057,Broadwater,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R058,Broadwater,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R059,Broadwater,Must have,A mooring for our boat,+10,A mooring at the property,,
R060,Broadwater,Must have,Everything on one level,-8,,,
R061,Broadwater,Must have,A hot tub,-2,,,
R062,Broadwater,Must have,A river view,+4,Right by the water,,
R063,Broadwater,Your time,Out on the water,+8,A day boat comes with the cottage,,
R064,Broadwater,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R065,Broadwater,Your time,Fishing,+8,Fishing from the garden or close by,,
R066,Broadwater,Your time,Fishing,+3,Right on the water,,
R067,Broadwater,Your time,Walking and wildlife,+2,A garden to come back to,,
R068,Broadwater,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R069,Broadwater,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R070,Broadwater,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R071,Broadwater,Your time,Doing very little,+3,A garden to yourselves,,
R072,Broadwater,Your time,Doing very little,-2,,,
R073,Broadwater,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R074,Broadwater,Where,Horning,-5,,,
R075,Broadwater,Where,Potter Heigham and the Thurne,-5,,,
R076,Broadwater,Where,"Reedham, Brundall and the Yare",-5,,,
R077,Broadwater,Where,Somewhere quiet and rural,-5,,,
R078,Bure Banks,How many,3 or 4,+2,"Sleeps 5, with a bed or two spare",,
R079,Bure Banks,How many,5 or 6,+6,"Sleeps 5, the right size for your party",,
R080,Bure Banks,How many,7 or 8,EXCLUDE,"Sleeps 5, not enough beds for 7 to 8",,
R081,Bure Banks,How many,9 to 12,EXCLUDE,"Sleeps 5, not enough beds for 9 to 12",,
R082,Bure Banks,How many,13 or more,EXCLUDE,"Sleeps 5, not enough beds for 13 or more",,
R083,Bure Banks,Who's coming,Family with children,+2,A garden for the children,,
R084,Bure Banks,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R085,Bure Banks,Who's coming,A big get-together,-6,,,
R086,Bure Banks,Must have,The dog comes too,+10,Dogs welcome,,
R087,Bure Banks,Must have,A mooring for our boat,+10,A mooring at the property,,
R088,Bure Banks,Must have,Everything on one level,-8,,,
R089,Bure Banks,Must have,A hot tub,-2,,,
R090,Bure Banks,Must have,A river view,+4,Right by the water,,
R091,Bure Banks,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R092,Bure Banks,Your time,Fishing,+8,Fishing from the garden or close by,,
R093,Bure Banks,Your time,Fishing,+3,Right on the water,,
R094,Bure Banks,Your time,Walking and wildlife,+2,A garden to come back to,,
R095,Bure Banks,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R096,Bure Banks,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R097,Bure Banks,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R098,Bure Banks,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R099,Bure Banks,Your time,Doing very little,+3,A garden to yourselves,,
R100,Bure Banks,Your time,Doing very little,-2,,,
R101,Bure Banks,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R102,Bure Banks,Where,Horning,-5,,,
R103,Bure Banks,Where,Potter Heigham and the Thurne,-5,,,
R104,Bure Banks,Where,"Reedham, Brundall and the Yare",-5,,,
R105,Bure Banks,Where,Somewhere quiet and rural,-5,,,
R106,Bure Croft,How many,3 or 4,-12,,,
R107,Bure Croft,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R108,Bure Croft,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R109,Bure Croft,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R110,Bure Croft,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R111,Bure Croft,Who's coming,Just the two of us,-6,,,
R112,Bure Croft,Who's coming,Just me,-4,,,
R113,Bure Croft,Who's coming,Family with children,+2,A garden for the children,,
R114,Bure Croft,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R115,Bure Croft,Who's coming,A big get-together,+6,Room for a big get-together,,
R116,Bure Croft,Must have,The dog comes too,+10,Dogs welcome,,
R117,Bure Croft,Must have,A mooring for our boat,+10,A mooring at the property,,
R118,Bure Croft,Must have,Everything on one level,+10,Everything on one level,,
R119,Bure Croft,Must have,A hot tub,-2,,,
