Property,Who's coming: Just the two of us,Who's coming: Family with children,Who's coming: A group of friends,Who's coming: A big get-together,Who's coming: Just me,How many: 3 or 4,How many: 5 or 6,How many: 7 or 8,How many: 9 to 12,How many: 13 or more,Where: Wroxham and Hoveton,Where: Horning,Where: Potter Heigham and the Thurne,"Where: Reedham, Brundall and the Yare",Where: Somewhere quiet and rural,Dates: Specific dates,Must have: The dog comes too,Must have: A mooring for our boat,Must have: Everything on one level,Must have: A hot tub,Must have: A river view,Your time: Out on the water,Your time: Fishing,Your time: Walking and wildlife,"Your time: Pubs, villages and days out",Your time: Doing very little
Bittern,-6,+4,,+6,-4,-12,+2,+6,X,X,-5,+8,-5,-5,-5,,+10,+10,+10,-2,+4,+6,+3,+2,+3,+5
Bluebell Lodge,+4,,,-6,+5,+6,X,X,X,X,-5,+8,-5,-5,-5,,X,+10,-8,-2,+4,+6,+11,,+5,+5
Broadwater,,+6,+3,,-4,+2,+6,X,X,X,+8,-5,-5,-5,-5,,X,+10,-8,-2,+4,+14,+11,+2,+9,+6
Bure Banks,,+2,+3,-6,,+2,+6,X,X,X,+8,-5,-5,-5,-5,,+10,+10,-8,-2,+4,+6,+11,+4,+9,+6
Bure Croft,-6,+2,+3,+6,-4,-12,+2,+6,X,X,+8,-5,-5,-5,-5,,+10,+10,+10,-2,+4,+6,+11,+4,+9,+6
Bureville,-6,+4,,+6,-4,-12,-5,+2,+6,X,-5,+8,-5,-5,-5,,+10,+10,+10,-2,+8,+9,+3,+2,+5,+5
Buttercup Lodge,+4,+4,,-6,+5,+6,X,X,X,X,-5,+8,-5,-5,-5,,+10,-8,-8,-2,+4,-4,+11,+2,+5,+5
Cavell,+8,X,X,X,+8,X,X,X,X,X,+8,-5,-5,-5,-5,,+10,-8,-8,-2,+4,-4,+3,+2,+11,+3
Coots,,,+3,,-4,+2,+6,X,X,X,+8,-5,-5,-5,-5,,+10,+10,+10,-2,+4,+6,+3,+2,+9,+3
Cresta Cottage,,+4,,,-4,-5,+2,+6,X,X,-5,+8,-5,-5,-5,,+10,+10,+10,-2,+8,+9,+3,+2,+5,+5
Drakes Dyke,,+2,,,-4,+2,+6,X,X,X,+8,-5,-5,-5,-5,,+10,+10,-8,-2,+8,+9,+11,+4,+3,+8
Dutch Cottage,,+6,+3,,-4,+2,+6,X,X,X,-5,+8,-5,-5,-5,,X,+10,+10,-2,+4,+6,+3,+2,+11,+6
Dydle Down,+4,+2,,-6,+5,+6,X,X,X,X,-5,-5,+8,-5,-5,,X,+10,+10,-2,+8,+9,+11,+8,,+8
Fennel,+4,+4,,-6,+5,+6,X,X,X,X,-5,-5,+8,-5,+8,,+10,-8,-8,-2,+4,-4,+11,+8,+2,+5
Ferry View,-6,+6,,+6,-4,-12,-5,+2,+6,X,-5,+8,-5,-5,-5,,+10,+10,-8,-2,+8,+9,+11,+4,+5,+8
Ferryman Cottage,,+6,,,-4,+2,+6,X,X,X,-5,+8,-5,-5,-5,,X,+10,+10,-2,+8,+9,+11,+2,+5,+8
Heron Cottage,,+2,+3,,-4,+2,+6,X,X,X,-5,+8,-5,-5,-5,,X,+10,+10,-2,+4,+14,+11,+2,+11,+6
High Meadow,-6,+6,,+6,-4,-12,+2,+6,X,X,+8,-5,-5,-5,+8,,X,+10,-8,-2,+8,+9,+11,+8,+2,+8
Holkham Cottage,+4,,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,+10,+10,-8,-2,+8,+9,+11,+2,+11,+3
Kingfisher Lodge,,+6,+3,,-4,+2,+6,X,X,X,+8,-5,-5,-5,-5,,+10,+10,+10,-2,+4,+6,+11,+4,+9,+6
Marchesi,+4,+6,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,X,+10,-8,-2,+8,+9,+3,+2,+11,+6
Margherita,+4,+6,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,X,+10,-8,-2,+4,+6,+11,+2,+11,+6
Martham Mill,+4,,,-6,+5,+6,X,X,X,X,-5,-5,+8,-5,+8,,+10,+10,-8,-2,+8,+17,+11,+8,,+5
Melrose,,+6,,,-4,+2,+6,X,X,X,-5,-5,+8,-5,-5,,+10,+10,+10,-2,+8,+9,+11,+10,+2,+8
Moon River Cottage,+4,+2,,-6,+5,+6,X,X,X,X,-5,-5,+8,-5,-5,,+10,+10,+10,-2,+8,+9,+11,+10,,+8
Owlswick,,+2,+3,,-4,+2,+6,X,X,X,-5,+8,-5,-5,-5,,+10,+10,+10,-2,+4,+6,+11,+4,+11,+6
Parsley,+4,+6,,-6,+5,+6,X,X,X,X,-5,-5,+8,-5,+8,,+10,-8,+10,+12,+4,-4,+11,+10,+2,+11
Patikipa,+8,X,X,X,+8,X,X,X,X,X,-5,-5,+8,-5,-5,,+10,+10,+10,-2,+8,+9,+11,+10,,+8
Poppy,+8,X,X,X,+8,X,X,X,X,X,-5,-5,-5,-5,+8,,+10,-8,-8,-2,-6,-4,-4,+10,+6,+1
Rebel,+4,+6,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,+10,-8,-8,-2,+8,-1,+3,+4,+11,+6
